ISO3,Pop,COUNTRY,bovinepppd,shoatpppd,pigpppd,poultrypppd,birdpppd,horsepppd,assespppd,mulespppd,camelpppd,rabbitpppd,rodentspppd,camelidspppd,gamepppd,driednespppd,nespppd,snailpppd,gamepcpa,allmeatpppd,allmeatpcpa,percent_game_pppd,percent_game_pcpa
THA,69799978,Thailand,0.7103,0.01457,3.1452,3.9568,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,7.8268699999999995,199541682.9786861,0,0
GEO,3989167,Georgia,1.8107,0.31691,1.5981,4.1087,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,7.83441,11415074.182770668,0,0
MRT,4649658,Mauritania,2.0894,4.3166,0,1.4539,NA,0.032047,NA,NA,NA,0,NA,NA,0,2.8707e-4,0.0011677,NA,0,7.8934017700000005,13405266.225461327,0,0
BIH,3280819,Bosnia and Herzegovina,2.5721,0.25134,2.1825,4.6033,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,9.60924,11514936.21045129,0,0
AZE,10139177,Azerbaijan,3.5058,2.9469,0.084875,3.1648,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,9.702375,35931139.091923214,0,0
MDA,4033963,Republic of Moldova,0.50851,0.058282,4.719,5.0527,NA,0.012075,NA,NA,NA,0.097677,NA,NA,0,0,0,NA,0,10.448244,15394494.801932523,0,0
KGZ,6524195,Kyrgyzstan,4.0708,3.3038,1.2028,2.0883,NA,0.64807,NA,NA,NA,0.011269,NA,NA,0,0,0,NA,0,11.325039,26987140.11949548,0,0
LBN,6825445,Lebanon,4.6143,0.8633,0.49227,7.1216,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,13.09147,32636953.362878285,0,0
ALB,2877797,Albania,3.686,2.528,2.3353,4.335,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,12.8843,13542885.558763273,0,0
SRB,8737371,Serbia,2.217,0.90701,6.659,3.5559,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,13.33891,42568793.724399045,0,0
JOR,10203134,Jordan,2.1201,1.7703,0.00485,10.878,NA,0,NA,NA,NA,0.0019586,NA,NA,0,0.0021753,0,NA,0,14.7773839,55070798.16394234,0,0
CPV,555987,Cabo Verde,0.89465,0.78096,7.161,6.402,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,15.23861,3094569.3234600676,0,0
EST,1326535,Estonia,3.6511,0.17849,6.3268,6.2164,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,16.372790000000002,7932893.598412914,0,0
KOR,51269185,Republic of Korea,4.5164,0.053301,7.1153,5.4877,NA,0,NA,NA,NA,0.032782,NA,NA,0,2.93e-5,0.022739,NA,0,17.2282513,322617436.74184114,0,0
ECU,17643054,Ecuador,5.5353,0.1763,4.6709,6.8575,NA,0,NA,NA,NA,0.036983,NA,NA,0,0.0060823,0.29616,NA,0,17.5792253,113282733.5601257,0,0
LVA,1886198,Latvia,1.2995,0.13113,10.2844,6.724,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,18.43903,12703271.365775084,0,0
SAU,34813871,Saudi Arabia,1.6681,2.2657,NA,15.5169,0.012949,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,19.463649,247495213.63984564,0,0
HUN,9660351,Hungary,1.617,0.050997,10.0419,8.1496,NA,0.024204,NA,NA,NA,0.09452,NA,NA,0,0.17717,0.52887,NA,0,20.684261,72983240.1293569,0,0
CAN,37742154,Canada,8.0043,0.36062,5.9121,11.9771,NA,0.029314,NA,NA,NA,8.58e-5,NA,NA,0,0,0.0049277,NA,0,26.2884475,362394707.0560504,0,0
KWT,4270571,Kuwait,2.3461,5.0742,NA,20.4758,NA,NA,NA,NA,NA,0,NA,NA,0,0,0.069099,NA,0,27.965199,43620846.110364236,0,0
