ISO3,COUNTRY,Population (2020),Days in year,Game_median_g_capita_day,Game_low95_g_capita_day,Game_high95_g_capita_day,Game_median_kg_country_year,AllMeat_median_kg_country_year,Perc_game,BovineMeat_median_g_capita_day,MuttonGoatMeat_median_g_capita_day,PigMeat_median_g_capita_day,PoultryMeat_median_g_capita_day,BirdMeatNES_median_g_capita_day,HorseMeat_median_g_capita_day,RabbitMeat_median_g_capita_day,RodentMeat_median_g_capita_day,CamelidMeat_median_g_capita_day,MeatDriedNES_median_g_capita_day,MeatNES_median_g_capita_day,SnailNotSeaMeat_median_g_capita_day
PHL,Philippines,109581078,365.15,,,,,,,1.1731,0.21491,4.4135,3.6012,0,0.0044667,0,0,0,0.014343,0.087074,0
POL,Poland,37846611,365.15,0.062168,0.056186,0.065131,859142.4883,818079457.5,0.105019443,0.6538,0.018213,12.4256,7.0117,0,0.013007,0.041696,0,0,0,0.017623,0
PRK,North Korea,25778816,365.15,,,,,,,,,,,,,,,,,,
PRT,Portugal,10196709,365.15,0.29051,0.26256,0.30436,1081664.102,273499191,0.395490787,4.4636,0.87423,9.8818,9.4265,0,0.010451,0.093453,0,0,0.071994,0.0010513,0
PRY,Paraguay,7132538,365.15,,,,,,,5.4506,0.22961,8.6382,1.9334,0,0.33701,0,0,0,0.0051976,0,0
PSE,State of Palestine,5101414,365.15,,,,,,,2.6448,0.61924,12.656,4.4449,0,0,0,0,0,0,0,0
PYF,French Polynesia,280908,365.15,,,,,,,9.1209,1.3186,4.0279,15.672,0,0,0,0,0,0.55829,0.023493,0
ROU,Romania,19237691,365.15,0.127,0.11478,0.13305,892129.6443,308687815.4,0.289007081,1.7542,1.0964,6.8845,4.862,0,0.10127,0.0059051,0,0,0.092581,0.0041897,0
RUS,Russia,145934462,365.15,0.000012744,0.000011518,0.000013351,679.1018744,3037858143,2.24E-05,4.3694,0.50268,5.5775,7.4675,0.16446,0.30031,0.060838,0,0,0,1.1769,0
RWA,Rwanda,12952218,365.15,0.98654,0.98654,0.98654,4665843.3,36786649.81,12.6835233,0.89465,0.29818,0.2138,0.07456,0,0,0.1147,0,0,0.00019078,0,0
SAU,Saudi Arabia,34813871,365.15,,,,,705472832.3,0,1.6681,2.2657,0,15.5169,0.012949,0,0,0,0,0,0,0
SDN,Sudan,43849260,365.15,0.18741,0.18741,0.18741,3000725.952,347307009.4,0.863998097,2.2723,3.8729,0,0.33891,0,0,0,0,0,0,0.36985,0
